paragraph,label
safety is a collaborative journey to continuously improve how we identify potential safety risks and prevent incidents hazards and risks both now and in the future our enterprise safety management systems ms serves,9
boeing is advancing the design of the transonic truss braced wing tt bw concept which has the potential to make future airplanes more aerodynamic and environmentally sustainable under this configuration fuel efficiency is estimated to improve by9 it is also designed to offer unprecedented aerodynamic efficiency while flying atmach080 consistent with the current speed of commercial air travel in partnership with nasa under the sustainable flight demonstrator and the subsonic ultra green aircraft research programs boeing is continuing to research and develop the tt bw concept before it is evaluated for future boeing aircraft,"[0, 14, 24]"
welding is a fabrication process used to fuse together two or more parts with heat pressure or both forming a join as the parts cool when welding aluminum heat affected zone haz cracking can occur due to a number of variables when this happens it leads to significant rework this affects quality causing part supply and production impacts and adding cost,The top three related keys for the given paragraph are
across functional team of boeing engineers and mechanics wanted to tackle this chronic problem so they performed a robust root because analysis to identify all contributing factors based on the findings they documented and implemented a,"[5, 15, 17]"
thanks to this committed team haz cracking has been reduced by over 35 each month improving quality and efficiency and saving tens of thousands of dollars per month,12
boeing teams from across the globe worked together to adapt inkjet printing technology to create photorealistic,"[3, 15, 26]"
this new inkjet printing process takes our aircraft livery and image design efforts to the next level said chip frohlich director of advanced manufacturing for commercial airplanes product development if the customer can imagine it,[7]
traditionally it takes three to12 production days to paint liveries with inkjet printing the time required for image application will be reduced to just a couple of days even for complex designs plus safety is improved by minimizing work,24
the technology is still in development and is not yet available to customers but is showing great promise as a simpler and more environmentally preferred process,"[0, 13, 24]"
boeings emissions reporter enables customers of all sizes to easily report their carbon emissions and improve fuel efficiency by identifying broad opportunities to reduce fuel consumption costs and emissions stock photo,"[25, 2, 24]"
with sky nrg to scale up the availability and use of sustainable aviation fuel,24
aviation week networks 65th annual laureate awards recognized boeings air teaming system and saf initiatives,"[3, 17, 26]"
engineers are problem solver sat heart we are partnering across our industry to tackle one of,No_sufficient_information
boeing is studying the transonic truss braced wing concept designed to be more aerodynamic and fuel efficient through,"[3, 13]"
inkjet printing technology still in development created this test case or cali very for alaska airlines demonstrating a promising efficient and environmentally friendly process boeing photo,23
the mq25t1 test asset refuelsanfa18 super hornet for the first time boeing photos,No_sufficient_information
using emissions reporter i no longer have to manually sort flights and fill out the report forms it saves time and let us,"25, 26"
etihad airways has utilized 787s to test new sustainable operations for more,24
stan deal boeing commercial airplanes president and ceo left and tony douglas,"7, 26"
we have set a goal of achieving netzero carbon emissions by 2040 but we can not do it alone that is why partners like boeing and programs like the eco demonstrator are so critical to innovate and test new technologies and to work together to ensure they are implemented and scalable we are grateful for boeings visionary leadership in setting,"[25, 10, 0]"
the 2021boeingeco demonstrators oars above washington states sanjuan islands boeing photo,[26]
boeing owns thousands of acres of habitat across five locations that are being protected or restored each habitat is actively managed and maintained by site employees nonprofit organizations or contract biologists for some locations additional agreements and monitoring are in place to ensure all legal contractual and certification requirements are met,"[2, 6, 10]"
each habitat is certified by the wildlife habitat council whc with three certified,"[0, 23, 22]"
boeings global privacy office is responsible for overseeing the management use and security of personal information held by,22
information security is critical to boeings operations around the world we continue,[1]
boeing has established a global cybersecurity governance council to further strengthen governance and enhance coordination of our cybersecurity activities the council comes,"[1, 3, 26]"
the council is a decision making body responsible for developing and coordinating enterprise cybersecurity policy and strategy as well as providing direction and guidance,1
an kit a sharma an early career boeing engineer plants trees along the banks of,"[23, 10, 15]"
responsible supply chain practices are key to advancing industry esg standards it requires transparency about business processes and supplied goods meeting stakeholder expectations addressing due diligence regulations and,17
boeing is driving a holistic approach to responsible supply chain practices that aligns to the organization for economic cooperation and developments due diligence guidance,[17]
how our suppliers operate is just as important as how we operate boeing remains committed to working with,"[17, 12, 26]"
boeing is committed to partnering with suppliers to create the worlds strongest and most capable aerospace supply chain to provide opportunities to diverse suppliers including women owned veteran owned and minority owned businesses and to small businesses and to support a healthy stable supply base reflective of our global customers and communities,"[17, 8, 10]"
partnerships are the building blocks for growth and opportunity a new supplier in ethiopia has hired and trained its first employees to manufacture airplane insulation blankets for boeing thanks to a partnership between an established italian supplier and a boeing commercial airplanes customer sky tecno and ethiopian airlines established the ethiopian,"5, 17"
boeing helps foster collaborations such as ethiopian sky technologies as part of its commitment to partnering with suppliers to source responsibly and to create economic opportunity for diverse communities,0
boeing australia and the indigenous defence and infrastructure consortium i dic have been creating win win solutions since signing a groundbreaking five year relational agreement to,"0, 10, 17"
boeing and id ic have worked together to create a true partnership based on trust and aligned values said adam goodes chief executive officer and director of id ic in the pursuit of growth for indigenous businesses we operate as one team,"[7, 0, 8]"
the contractual model is based on a co created vision,No_sufficient_information
for years design and proposal teams in phantom works a boeing organization that innovates the next generation of aerospace and defense solutions have been using early quality involvement eq i methods and tools to ensure that quality is incorporated from the start this helps to identify quality issues concerns and risks that may surface and to prevent them from happening,"[0, 14, 25]"
the eq i toolset lays out a series of checklists and templates for program managers and others to follow as they pass through the first stages of new product development helping them identify crucial issues that could crop up and plan ahead for them said clark rucker manager of bds integrated quality rucker served on the phantom works quality team when eq i was designed,"[15, 26]"
the intent of eq i then and now is not to correct quality issues but to avoid them in the first place rucker said,[14]
the boeing quality management system qms is an established business management system meant to ensure customer regulatory and business requirements are met in 2021 the company continued to strengthen its system through application of the one boeing production system and lean principles using new industry assessment tools and operating in alignment with a safety management,"[3, 15, 26]"
the boeing production system bps is the framework by which boeing uses standards and problem solving to continually improve its production system the goal is zero safety incidents zero foreign object debris fodand100 first pass quality teammates can expect a safe place to work the right tools training and materials timely feedback and recognition and ways to raise concerns and get the help they need,9
by learning adopting and maturing the bps standards across our global enterprise we foster the predictability and discipline neces,"[12, 24, 26]"
bps contributes to sustainability by improving efficiency reducing waste and improving,24
design engineer rupinderaulakhchecks737 max electrical system architecture in renton washington boeing photo,"[15, 24, 26]"
climate risks and opportunities inform our path toward sustainable aviation both in our products and in how we,13
to achieve our goals related to the climate and to greenhouse gases ghg we actively monitor emissions fuel use and energy efficiency we have set targets for performance in each of these areas as part of boeings robust business continuity program we also monitor the length and severity,"[13, 25]"
boeing achieved netzero carbon emissions at manufacturing and other facilities and in business travel in2021 for the second consecutive year by expanding conservation and renewable energy use while securing verified offsets for the remaining greenhouse gas emissions,"[0, 13, 25]"
since 2008 boeing has voluntarily and transparently reported greenhouse gas emissions from our operations in annual cdp disclosures in 2021cdp awarded boeing a climate change grade of bc for water security,"[25, 26]"
enterprise greenhouse gas emissions from operations are calculated after the conclusion of the reporting year however the emissions from natural gas and electricity usage at core metric sites are calculated and monitored on a monthly basis through the use of utility bills and are continuously validated and updated throughout the reporting year the emissions factors for these energy sources are validated at least annually and updated when appropriate following guidance from the world resources institute ghg protocol the energy data and emissions factors are verified as part of a third,"[25, 0, 13]"
this diagram reflects boeings transition to a circular economy across our value chain,"[15, 17, 26]"
boeing encore interiors layup technicians alberto nieto garcia left and bang nguyen laying out a silicone bag as part of the 737 floor panel fabrication process the new reusable bagging system is expected to save an estimated 175000 annually in material costs david brink photo,"19, 26"
at the boeing encore interiors be i facility in seal beach california technicians noticed,No_sufficient_information
the materials used in the process were also single use soover11000 rolls of tape and 52miles84 kilometers of nylon were making their way to the landfill each year,"[19, 26]"
the sustainable solution keeps 87tons79 tonnes of waste out of the landfill and saves an estimated 175000 annually in material costs there are also ergonomic benefits,"19, 26"
bei is a boeing subsidiary that supplies cabin products for new production and retrofit on boeing and non boeing airplanes,3
boeing celebrated earth day on april 22by kicking off its battle of the buildings bob competition an annual event since 2018bob engages employees to conserve resources at manufacturing and office,"[0, 10]"
in2021 employees at 163sitesin39 countries participated by taking over 7200060 second actions to benefit the environment over a month boeing munich emerged as,24
the battle of the buildings really speaks to what so many of our employees care about said maria bethke conservation team lead,[6]
to p60 second actions included turning off lights hvac electronics and equipment sorting waste properly refusing to use single use plastic and picking up foreign object debris and litter onsite conservation leaders used boeings production system boards to engage manufacturing employees,24
other boeing sites that excelled in the competition included employees from st louis mesa arizona san antonio the spares distribution center in seattle and boeing distribution in melbourne australia,"3, 8, 17"
conservation manager crystal frost adapted the program from the yous environmental protection agency epa after boeing participated in a90daypilotin2016 and reduced energy use by26 percent in,"24, 26"
as part of our commitment to sustainability with a focus on environmental stewardship and biodiversity boeing donated 1 million to the national wildlife federation in february 2022 for the wallis annenberg wildlife crossing in los angeles,13
the crossing with ceremonial groundbreaking in april 2022willspan10lanesofyo us highway 101 to reconnect an integral wildlife zone near boeings santa susan a field laboratory the wildlife crossing will be critical to saving the threatened local mountain lion population from extinction boeing has a history of partnership with the national wildlife federation including donations for the wildlife crossing campaign a long term mountain lion study in,"23, 26, 10"
we thank boeing for their long term partnership and support in helping to make this project a reality as well,"[0, 3, 17]"
environmental scientist kristin marshall is boeing s2021 environment champion an annual award given to an employee who exemplifies leadership by improving,"[23, 26, 0]"
throughout her career marshall has been inspired by one of president theodore roosevelts favorite sayings do what you can with what you have got where you are she encourages everyone at boeing to act,"[4, 0, 26]"
some examples of marshalls environmental commitment include leading the installation,23
many of the sustainability and environmental challenges we face are definitely huge in scale but everyone at boeing can and should contribute to the solution marshall said you can figure out what single action you are going to take with the options you have and take action today tomorrow and,"[2, 23, 26]"
in2021 motivated teams of engineers and technical experts advanced the safety and sustainability of automated laser tool cleaning earning a boeing technical replication,"['Employee_Health_And_Safety', 'Product"
conventional tool cleaning uses manual sanders or chemical processing which adds ergonomic safety and environmental concerns laser ablation nearly eliminates those risks the teams solution has the following benefits,"[9, 19, 26]"
it is not just what we do it is also how we do it we strive to operate sustainably and engage transparently on behalf of our customers,"[12, 0]"
1 greenhouse gas ghg emissions from our operations is calculated using ghg emissions from the energy electricity and natural gas consumption at boeing score metric site score metric sites represent the majority 70ofboeingsghg footprint from operations this is an absolute reduction in ghg emissions no normalization has been applied,[25]
boeing st louis employee keith gallup works on the mq25uncrewed aerial refueling aircraft boeing photo,"[17, 26, 26]"
boeing achieved netzero carbon emissions at manufacturing and other facilities,[25]
boeing chooses offsets that meet rigorous requirements set by verified carbon standard vcs american carbon registry or gold standard many projects leverage the power of nature and are designed for the protection and restoration of forests boeing looks for co benefits or the positive effects that a policy or measure aimed at one objective might have on other objectives for example forest health may be the main objective and while other benefits extend to supporting local communities and protecting biodiversity,The keys related to the paragraph are: 'GH
since 2020 boeing has been an official partner of the aviation carbon exchange ace a partnership between the international air transport association iata and xchg company cbl markets ace is a centralized marketplace for airlines and other stakeholders to buy offsets eligible for the carbon offsetting and reduction scheme for international aviation corsi a,"[0, 1, 13]"
indigenous reservation of them at aven forest located in the colombian indigenous territory of orinoco amazon transition zone spanish acronym is ri usm the project is red da united nations created framework to sustainably guide forest sector activities ri usm is the fourth largest indigenous,"[23, 10, 17]"
an artists rendering of the wallis annenberg wildlife crossing which will span the 101 freeway in los angeles when complete rendering courtesy of national wildlife federation,"[23, 26]"
we implemented this technique on tools to get our arms around how to use lasers in a manufacturing setting once we gained confidence we graduated to other aircraft applications,LDA_table = {'Business ethics': 0
1 diverse suppliers refer to women owned veteran owned or minority owned independent of size,8
2 small business refers to a business that is independently owned and operated is not dominant in the field of operations in which it is bidding and meets,0
ethiopian sky technologies employees produce insulation blankets in their new facility in add is ababa ethiopia boeing photo,"[19, 4, 26]"
there define program funded with support from boeing is a nine week course that challenges veteran participants both physically and mentally leading athletes to find,0
boeing has invested in the adaptive training foundation since 2017,12
coding summer school is a partnership between boeing and think young launched,"[3, 26]"
students participate in a coding summer school class in nairobi kenya think young photo,No_sufficient_information
boeing is partnering with clemson university to help create pathways to higher education and to cultivate a diverse and highly skilled workforce in 2021 boeing sponsored clemson s men of color national summit the event brings together black and,"[8, 10]"
boeing also invested in the university s year round tiger alliance college mentorship program created a scholarship for students pursuing stem fields and deepened collaboration with clemson s nationally acclaimed call me mister program to inspire young men of color to consider careers in stem and advanced manufacturing this investment in clemson s diversity equity,"[8, 10, 26]"
clemson men of color work toward being part of the highly skilled workforce clemson university photo,No_sufficient_information
the shipment included hospital beds mattresses and wheelchairs to equip medical facilities in uzbekistan to improve care for the country s most vulnerable population,23
boeing also announced a100000 donation to support project c your es commission on urgent relief and equipment efforts providing humanitarian medical supplies to uzbekistan hospitals and medical facilities in the aral sea region people living in this region experience high incidence of diseases and one of the worlds highest rates of infant mortality,"[10, 11, 26]"
in total boeing donated 13 million to disaster response and humanitarian efforts including cov id19reliefgloballyin2021,"[5, 26]"
pictured from left monte frazier vice president russia and central asia boeing commercial airplanes sales javlonvakhabov ambassador of the republic of uzbekistan bill mcsherry vice president government operations boeing commercial airplanes dr douglas jackson project c your e president and ceo and melisa es post i project c your e director of government and ngo relations,No_sufficient_information
through purposeful investments employee engagement and advocacy efforts boeing supports partnerships and programs that align with our business create value and help build better communities worldwide boeing charitable grants drive positive lasting change in the communities where our employees and their families live and work boeing focuses on opportunities that inspire our future empower our heroes and strengthen our homes with,"[0, 8, 10]"
in2021 boeing and its employees invested over 187 million and volunteered 290000 hours to help build better communities worldwide,"[10, 8, 26]"
since 2020 boeing has committed over 30 million to organizations working toward racial equity and social justice including over 153millionin2021,10
build better more equitable communities through corporate investments employee engagement programs and advocacy efforts,8
boeing volunteers build sustainable trails in the cascade range near seattle,"[23, 6, 19]"
there are not enough words to thank boeing for what i have been able to get out here it is not just the physical,"[0, 26]"
graduates of the adaptive training foundations first all veteran class adaptive training foundation photo,"[8, 26]"
boeing worked with local community stakeholders to create the pollinator prairie in olathe near kansas city kansas as part of its cleanup effort at the former chemical commodities inc site the habitat consists of mostly native plants that provide bees birds and butterflies food shelter and safe areas for breeding boeing photo,"[19, 23, 26]"
2 renewable electricity data excludes any renewable energy that is part of the grid by default in alignment with sas band other frameworks notably boeing operates in a number of grids that rely significantly on renewable sources,"[1, 13, 17]"
2 water stressed areas are those with high or extremely high water stress in the world resources institute aqueduct model,[20]
scope 3ghg use of sold products defense space and security,[25]
1 emissions enterprises cope1scope2andscope3 categories 5and11 data is verified by an accredited independent third party to the level of limited assurance see,"[25, 26]"
3forscopes12and3 we calculate emissions from co 2ch4n2ohfcspfcssf6andnf3 for this data set,25
4 use of sold products emissions are based on estimated lifetime emissions of boeing commercial airplanes product deliveries in2021 including direct emissions from combustion of fuel 242m metric tons and indirect emissions from production of fuel 36m metric tons,"25, 26"
5 use of sold products emissions are based on estimated lifetime emissions of boeing defense space security aircraft product,"[13, 25, 15]"
6ghg intensity includes scope 1andscope2 market based ghg co 2ch4n2ohfcspfcssf6andnf3,[25]
1 unless otherwise indicated data presented are snapshots taken in december of the year referenced,1
2 veteran data reflects the yous workforce only based on voluntary confidential self identification a veteran is defined as a person who served in the active military naval or air service and who was discharged or released therefrom under conditions other than dishonorable,"[9, 1, 26]"
4 numbers for gender may not total 100 due to team members who identify as non binary,"8, 10, 26"
6 executive council gender data includes both you sand non you s leaders,"[8, 26, 26]"
7 race and ethnicity data reflects the yous workforce only numbers may not total 100 due to inclusion of people who choose not to disclose or due to rounding racial and ethnic minority representation includes asian black hispanic latino a x native american pacific islander and two or more races as defined by the yous equal them,"[1, 6, 8]"
8 race and ethnicity data reflects you s leaders only however susan don iz chief information officer and senior vice president of information technology data analytics based in canada identifies as hispanic,"8, 1, 26"
1 mandatory and voluntary employee training hours represent different types of learning that are stored in separate data sources training data residing in boeings learning management system lms includes mandatory and compliance training voluntary training is not considered mandatory and represents hours spent participating in learning tracked outside of our lms,"[8, 1, 26]"
1 injury data represents you s canadian and australian operations new miss hazard reports represent,"1. Data security: 1
2."
1 inquiries comprise requests for guidance and information requests requests for guidance are situations where employees are seeking guidance when facing ethical dilemmas or when they need assistance in understanding company policies or expected behaviors information requests are situations where employees are seeking,"[0, 1, 10]"
3 investigated matters are considered unsubstantiated when the investigation findings do not support a violation,[5]
4 ongoing evaluations demonstrate that boeings substantiation rate is slightly higher than other published,"[4, 0, 26]"
total number of organizations receiving contributions supporting stem education and workforce development programs,22
approximate students reached through boeings hands on stem learning program future you,"[2, 8, 26]"
1 community giving is inclusive of boeing and employee giving,10
boeing has a robust enterprise risk management erm process which is described in the,"[5, 18, 26]"
the board chair is not an executive officer of the company,"[7,12,26]"
critical concerns submitted through external and internal reporting portals are reported by the chief compliance officer to the chief executive officer chief legal officer audit committee and board of directors for critical concerns the issue details findings and response are disclosed in addition the data identifies case trends including reporting channels case categories organizations locations and types of corrective actions taken,"5, 7, 12"
well as other collective agreements and representative organizations boeing aims for strict compliance with applicable legislation regulation and requirements regarding employees preference to choose a representative body or not,[11]
the boeing sustainability report has been prepared in accordance with the global reporting initiative gri standard score option,"[0, 12]"
select environmental data have been externally verified by dnv gl,"[1, 13, 23]"
explanation of economic performance as a material topic and its boundary the management approach and its,"[3, 12, 26]"
financial implications and other risks and opportunities due to climate change,[13]
explanation of procurement practices as a material topic and its boundary the management approach and its com,"Based on the given paragraph, the possible related keys"
90 of our suppliers are local to our significant locations of operations and spend,"17, 26"
with these local suppliers comprised 81 of our supplier spend local suppliers are defined as domestic in relation to the location of operation and significant,"[17, 26]"
explanation of anticorruption as a material topic and its boundary the management approach and its components and the evaluation of the management approach,"3, 4, 12"
1 boeing participates annually in the cdp climate report our most recent response is available on our website,"[13, 25, 26]"
explanation of energy as a material topic and its boundary the management approach and its components and the evaluation of the management approach,"[24, 3, 12]"
explanation of water as a material topic and its boundary the management approach and its components and the evaluation of the management approach,[20]
explanation of biodiversity as a material topic and its boundary the management approach and its components and the evaluation of the management approach,"13, 17, 26"
1 boeing participates annually in the cdp climate report our most recent response is available on our website,"[13, 25, 26]"
explanation of waste as a material topic and its boundary the management approach and its components and the evaluation of the management approach,"19, 20, 17"
76 of boeing operations are covered based on square footage all major,"[17, 26]"
explanation of environmental compliance as a material topic and its boundary the management approach and its com,"[12, 23]"
1 boeing participates annually in the cdp climate report our most recent response is available on our website,"[13, 25, 26]"
explanation of employment as a material topic and its boundary the management approach and its components and the evaluation of the management approach,8
explanation of labor management relations as a material topic and its boundary the management approach and its components and the evaluation of the management approach,"11, 12"
we provide advance notice in accordance with all applicable legal and or,[12]
workers covered by an occupational health and safety management system,9
explanation of training and education as a material topic and its boundary the management approach and its com,"[11, 12, 26]"
explanation of nondiscrimination as a material topic and its boundary the management approach and its components and the evaluation of the management approach,10
operations with local community engagement impact assessments and development programs percentage,[10]
explanation of customer health and safety as a material topic and its boundary the management approach and its components and the evaluation of the management approach,"[9, 12]"
assessment of the health and safety impacts of product and service categories,9
incidents of noncompliance concerning the health and safety impacts of products and services,"[9, 14, 15]"
explanation of customer privacy as a material topic and its boundary the management approach and its components and the evaluation of the management approach,22
we are not aware of any items that we believe would be responsive to 4191a,[26]
boeing takes a risk based approach to managing the security of its data and has a documented low risk appetite for cybersecurity and,1
description of approach to identifying and addressing data security risks in products,1
product security engineering provides a disciplined approach to the development and sustainment of our products which is essential to ensuring mission assurance resiliency and security security is integrated into our engineering processes starting from concept development ensuring that we develop products that are secure by design key cyber attributes and adversity or threat to the system are identified during requirements engineering allocated throughout design implemented and validated during development fully tested and supported during sustainment additionally boeing works to ensure that our products are designed to anticipate withstand recover and adapt to cyber,"[1, 5, 15]"
per astm standards all commercial turbojet airplanes are certified to fly revenue passengers with a blend of upto50 sustainable,['No_sufficient_information']
aviation fuels derived from biomass and other sustainable sources boeing commercial airplanes 2021revenues195m are listed in,"[23, 26, 3]"
description of approach and discussion of strategy to address fuel economy and ghg emissions of products,LDA_table dictionary is not provided. Could you
we are highly dependent on the availability of essential materials parts and subassemblies from our suppliers and subcontractors the most,17
important raw materials required for our aerospace products are aluminum sheet plate forgings and extrusions titanium sheet plate,23
forgings and extrusions and composites including carbon and boron although alternative sources generally exist for these raw materials,"13, 19, 23"
qualification of the sources could take a year or more many major components and product equipment items are procured or subcontracted,[26]
on a sole source basis with a number of companies,[26]
discussion of processes to manage business ethics risks throughout the value chain,"[0, 17, 26]"
suppliers are encouraged to model their ethics program in accordance with the federal sentencing guidelines and industry best practices boeing believes that our suppliers and partners share the goal of maintaining the highest standards of business conduct as defined in our,0
1 boeing participates annually in the cdp climate report our most recent response is available on our website,"[13, 25, 26]"
describe the boards oversight of climate related risks and opportunities,"[12, 13]"
describe management s role in assessing and managing climate related risks and opportunities,13
describe the climate related risks and opportunities the organization has identified over the short medium and long term,13
describe the impact of climate related risks and opportunities on the,13
describe the potential impact of different scenarios including a2c scenario on the organizations businesses strategy and financial planning,"[3, 24, 26]"
disclose the metrics used by the organization to assess climate related risks and opportunities in line with its strategy and risk management process,13
describe the targets used by the organization to manage climate related risks and opportunities and performance against targets,"13, 18"
1 boeing participates annually in the cdp climate report our most recent response is available on our website,[24]
the youn sustainable development goals sdg area universal call to action,[26]
2 while some benefit programs are global certain programs and offerings vary by country subject to program availability local laws and customs,2
many factors could cause actual results to differ materially and adversely from these forward looking statements including the covid19 pandemic and related industry,"[5, 26]"
we believe in a culture and work place where everyone is respected valued and inspired to reach their fullest potential learn more about our global equity diversity inclusion efforts at,8
through purposeful investments employee engagement and thoughtful advocacy efforts boeing and its employees are helping build better communities worldwide learn more,No_sufficient_information
